Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW1,SCSI Reset,SW_Push_1P1T_XKB_TS-1187A,41.0,23.25,270.0,bottom
SW2,USB Boot,SW_Push_1P1T_XKB_TS-1187A,33.285,22.038748,90.0,bottom
SW3,RP2040 Reset,SW_Push_1P1T_XKB_TS-1187A,33.285,22.038748,90.0,bottom
U1,LVT125,TSSOP-14_4.4x5mm_P0.65mm,25.0,15.0,0.0,top
U10,AMS1117-2.85,SOT-223-3_TabPin2,12.0,-0.0,0.0,top
U11,AMS1117-3.3,SOT-223-3_TabPin2,47.1125,3.5,-90.0,top
U12,W25Q16JVUXIQ,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,53.425,-9.05,-90.0,top
U13,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,40.3125,-5.75,90.0,top
U2,LVT125,TSSOP-14_4.4x5mm_P0.65mm,34.0,8.0375,0.0,top
U3,LVT125,TSSOP-14_4.4x5mm_P0.65mm,25.0,8.0375,0.0,top
U4,LVT125,TSSOP-14_4.4x5mm_P0.65mm,34.0,15.0,0.0,top
U5,74HC14,TSSOP-14_4.4x5mm_P0.65mm,25.0,1.075,0.0,top
U6,LVT245,TSSOP-20_4.4x6.5mm_P0.65mm,25.0,-6.05,180.0,top
U7,LVT245,TSSOP-20_4.4x6.5mm_P0.65mm,12.0,15.5,-90.0,top
U8,LVT245,TSSOP-20_4.4x6.5mm_P0.65mm,12.0,-15.5,90.0,top
U9,LVT245,TSSOP-20_4.4x6.5mm_P0.65mm,25.0,-14.675,180.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,40.875,-15.2,180.0,top
